Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3466885774317323,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.10872111043911348,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.3040781047860365,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3495720917234997,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4409811637087536,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.11623495147924834,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.29771601034296935,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.44629628064057436,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.416027613068945,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.21266638067518395,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3096303515626989,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.49498285578597556,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.13124453620189613,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-1.284434647922617,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.20183782537464978,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.002807568399980198,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.1877626928605698,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-1.202781367209893,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.226576012813541,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.0492917888357729,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3689435181682872,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.06772862433612648,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.2781968254397015,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3488851502106026,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4840139283620776,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.22620786096974743,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.30230223170315085,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.4569070744002024,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.45864884012470675,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.18485795029754304,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2821224540077538,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.44504729986287295,311
