Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.04810787046509635,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.2223611230540331,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2235333095526031,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.0022936040680198166,311
CHIEF (SPARRA),Pathomics,Inflammatory,0.12208453213432913,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.12301644124303623,311
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.09882502056416631,94
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.20066976268412617,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.247399403212195,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.060860114170708024,214
CONCH (MEAN),Pathomics,Wound Healing,0.1940731153944707,214
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.19039994764835533,214
