Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.1448079030505507,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.059082976413481925,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.14805567251611174,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.021269229498643294,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.16163836486225536,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.0819059161330189,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.13756476621209102,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.028314665826988383,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.15393885701137822,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.10990400084376617,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.1422556267910351,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.030919117550576636,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.04810787046509635,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.1708328915995303,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.060860114170708024,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.0022936040680198166,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.02699267670447003,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.18799212655067143,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.05465746201152788,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.015364892659311957,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.18376964148979125,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.09077900421731266,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.17431739537863278,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.06292198638606994,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.20746599877028038,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.09386902669210262,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.17821963666222984,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.09003904731688472,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.19840252832631866,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2110828358496898,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.1459123129757679,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.08352124688426632,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.04683267519348966,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.15361126531994396,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.051765590401769424,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.014621419560825188,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.2306913044480441,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.4422760248847353,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.07371930994910447,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.1695073184432223,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.0540456214505064,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.11731312121038684,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.17853101612521827,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.04047859401408549,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.005168547092551989,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.16565585497386293,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.0032983373701881424,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.047788252151178545,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.1668416044168961,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.1004115244593341,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.17427356063116795,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.043042400258200275,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.19772911349845634,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.1190132514413832,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.17633697251831948,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.119720547885943,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.17467544492611387,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.15403263594301353,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.16510483377301688,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.12301644124303623,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.13967708473043905,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.247399403212195,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.13096572111071492,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.060272338940495995,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.20265587159188403,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.08001067062242628,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.19039994764835533,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.10637483531781433,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.19787102853248362,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.17488356456828058,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.17719130548941942,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.12208453213432913,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1918163849539658,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.11209765332093169,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.1736379697290884,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.11622237380316713,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.15064192697081014,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.19790912153322304,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.1197395487252646,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.0742087507655107,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.16259261688036608,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.11843771384152812,94
CHIEF (MEAN),Pathomics,Wound Healing,0.16544619261282023,214
CHIEF (MEAN),Pathomics,Inflammatory,0.10142128112478899,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.15965541459164423,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.20066976268412617,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.1347161860777467,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.07975967761735658,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.0025734398009357173,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.21370973634167711,94
LVMMed (SPARRA),Radiomics,Wound Healing,0.02446453279389038,214
LVMMed (SPARRA),Radiomics,Inflammatory,-0.0032575816845210603,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.0004443596697869534,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.09882502056416631,94
LVMMed (ABMIL),Radiomics,Wound Healing,0.018346952960488827,214
LVMMed (ABMIL),Radiomics,Inflammatory,-0.0586890375268001,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.10404297143032781,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.020600951107299426,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.16426207773160906,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.09393152078272493,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.2223611230540331,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.11386210152011789,94
UNI (SPARRA),Pathomics,Wound Healing,0.17474345068229735,214
UNI (SPARRA),Pathomics,Inflammatory,0.0935256209338321,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2235333095526031,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.05068413051622911,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.1646069007101979,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.08507645008225484,311
