Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.3994079259299588,267
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.12019101263632226,267
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.12466055542947108,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.00985771071791064,311
CONCH (ABMIL),Pathomics,Inflammatory,0.327775542631606,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.33854900599565996,311
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.3593829791620635,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.1728824157143044,94
LVMMed+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.19834625114925775,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.1020694400286063,214
CONCH (ABMIL),Pathomics,Wound Healing,0.33584396225979196,214
LVMMed+CONCH (ABMIL),Radiopathomics,Wound Healing,0.29159970492044385,214
