Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.08575751941896625,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.002524093087798107,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.22843416886208168,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.2487040521708731,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.12393502633731768,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.05492832907658263,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.27465929218046214,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.24986001313061812,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.07883284734426399,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.13119895820951877,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.2848362930866827,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.33854900599565996,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.3994079259299588,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.5090683997703132,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.016568404157493166,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.0700437987842093,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.5142110299267577,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.3593829791620635,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.1020694400286063,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.03437162032587526,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.013628034387486943,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.026363739953618404,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.20781236589953356,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.17127521907915655,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.0814513268455701,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.13131021444069713,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2521373523615761,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.24450206648184458,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.033074253039255375,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.06934996917431868,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.22057959239736213,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.23450774079264247,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.40219460258888695,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.4616999626286902,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.01821046843349572,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.00985771071791064,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-1.0417784448169436,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.5811597574175742,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.420012949824901,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.5470097211920739,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.01073898354122349,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.026111990370848215,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.14947370254501735,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.11351334087842369,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.6910354070670668,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.4025121537545029,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.038795677025504016,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.20593808036280636,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.006338501583520673,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.0473542010341893,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.21608829401213958,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.2180023421542181,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.03043649814536964,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.026101405545451595,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.2289802367741619,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.18869771864361018,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.05380154216555799,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.04823087237729007,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2817800568054537,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.22309318133372447,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.05754409499544233,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.020194509450339293,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.2156689825830489,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.20860133022243466,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.0010084682888933383,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.0030783934600382423,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.240062986628931,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.17670286464608542,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.08782606599800191,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.1004707987090413,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.27859433893281116,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.2417572215421866,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.05246473446327249,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.08678927658842306,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2573713672386073,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.21606244215420467,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.12466055542947108,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.08871465049381844,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.2073640087501748,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.12039532652937879,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,-0.00826235628870653,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,-0.04575456464853911,94
CHIEF (MEAN),Pathomics,Wound Healing,0.2602306961045464,214
CHIEF (MEAN),Pathomics,Inflammatory,0.20638580886221536,311
