Model,Omics,Subtype,R2,N
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,-0.030991467725038913,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.4608833309145026,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4549959392356101,267
BiomedParse (MEAN),Radiomics,Inflammatory,-0.015921516026139892,311
CONCH (ABMIL),Pathomics,Inflammatory,0.4672837973217231,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4533397379987262,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.7320718329967375,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.2770431867339487,94
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2528205813861152,94
LVMMed (MEAN),Radiomics,Wound Healing,-0.21296051961531748,214
CHIEF (SPARRA),Pathomics,Wound Healing,0.3196327309784657,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.29201980940766614,214
