Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3207482295598827,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.05603700591178695,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2590659976244648,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3040561438371159,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3967198652834879,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.026884448168568498,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.21011757775374051,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.39226962280295763,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.37984840896011496,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1437698611303172,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.24649133957827873,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4533397379987262,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.047729785175158135,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.8872387651541467,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.25621725510782145,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.05449670218309999,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.05533592386296471,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-1.0357251446671145,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.2640426886462681,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.07241209330022791,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3329067182240174,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.17298387641477675,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.2330356767873366,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.27199532121889514,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4549959392356101,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2528205813861152,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2556163912155497,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.386541775677571,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4090926947659642,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1685880085994481,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2136811491581766,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.35465493336958454,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.06589921087580008,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.7320718329967375,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.2220705648027297,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.015921516026139892,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.46977438965390794,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.624683547273793,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.9654298712933402,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.7672275703209654,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.30662518883808054,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.13838203757036527,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.10157378548933493,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.2592949297861705,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.04878290120549056,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.3623425866677876,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.24847037791882598,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.2131483836675998,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3167475834959096,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.06941777864200604,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.20472168909847277,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.2946756512439255,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.30766685272724803,267
