Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.11064938914049016,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.24355018145634777,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.044948603842751234,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.0410370680779375,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1411475807131619,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.21264314794482242,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.09038170632891684,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.07283067455122405,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.11243760923129353,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.18313405186193588,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.0631459913062784,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.024662730314454095,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.05362394051401287,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.08259138913988395,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.011851215488719036,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.010646237226368371,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.04312995682137033,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.051845640718638286,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.011389833986362952,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.007801513903451296,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.16415889164927622,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2874406034195528,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.08388704679267356,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.02263745676803719,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2030621468821281,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.25885561236119814,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.10775386197814796,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.06960627190190494,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.18139478056090586,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2288622044411427,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.08558807239806532,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.034329484042152636,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.03368754781995631,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.018242420158731232,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.016727339873072067,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.01697406489162856,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.07273089673022204,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.21187205462152336,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.10743321092028824,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.0846269734460976,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.1669568832473174,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2786903597631284,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.12878498217504775,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.04733424749756576,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.05330473735879049,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.07446373565817677,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.019742061232784103,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.01685058313358434,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.09670678793980614,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.15365807270307608,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.09356463918163838,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.018175636278949248,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.10392422517479927,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.24703366658963144,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.03289194275714935,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.012216343395453966,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1391692522124114,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.26210945901415683,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.08821931063861133,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.055155689886757564,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.14729572069198638,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2629459747109423,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.08509289197268943,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.06147420948857096,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.09409682029273003,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.24201825940151223,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.04655957511199382,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.014465502079130443,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.14997365131013107,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.3017463260474751,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.057082004310697654,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.005049807093990388,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.12989208978573452,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2792403512409639,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.071683199257211,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.028033379552842352,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.15635298734369318,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.22584843046222192,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.07685687186176526,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.020429822551645715,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.10475206855477381,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.2724509280821237,94
CHIEF (MEAN),Pathomics,Wound Healing,0.03929581781435243,214
CHIEF (MEAN),Pathomics,Inflammatory,-0.00970505185265469,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.1432766161273018,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.2602365838088594,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.07211723185329,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.024898170886612836,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.04349041710374224,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.07378346694082971,94
LVMMed (SPARRA),Radiomics,Wound Healing,0.0037781957806609645,214
LVMMed (SPARRA),Radiomics,Inflammatory,-0.0024605130088242166,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.05208637334593469,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.0798340664901549,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.009217189752337207,214
LVMMed (ABMIL),Radiomics,Inflammatory,-0.014869798413328805,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.12751838875686694,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2746307255651226,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.06580513978817326,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,-0.02250008198100728,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.2178389245486464,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.290138373551879,94
UNI (SPARRA),Pathomics,Wound Healing,0.107864181108279,214
UNI (SPARRA),Pathomics,Inflammatory,0.05469777448656221,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1703333391984596,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.273083436089792,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.09767386561319613,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.06096139004921952,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.14083259583040897,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2125011880450487,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.06485949794564416,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.04085891531124353,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.17399032430228245,267
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.2964181138283498,94
UNI (MEAN),Pathomics,Wound Healing,0.09827589836765649,214
UNI (MEAN),Pathomics,Inflammatory,0.0294397980204677,311
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,-0.06832518713603886,267
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,-0.09974924428343268,94
LVMMed (MEAN),Radiomics,Wound Healing,-0.008089357294207788,214
LVMMed (MEAN),Radiomics,Inflammatory,0.008438468711224778,311
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.18610231819109513,267
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.2501292790025331,94
UNI (ABMIL),Pathomics,Wound Healing,0.11202161860510773,214
UNI (ABMIL),Pathomics,Inflammatory,0.04347866497916497,311
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.18702171140267332,267
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.2645371621125596,94
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,0.02431664000387823,214
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,-0.030135285819041346,311
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.10250343690011532,267
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.23549504273923272,94
