Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.41403476573975917,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.48028593009663023,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.35049865636962185,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.39685467851551837,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.45470436567247763,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4897728695163748,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3536710811923537,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3962055135202124,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.44966305663896455,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5153380242891692,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3431854343367786,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.474836177892913,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.04545292542228474,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.1645654999572198,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3048400545561174,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.024350190112176984,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.14195617591515663,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.04195422777594093,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.5269703194425541,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.33085564755382113,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.44218667543282075,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5465253321546107,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3915579929250276,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4919927803886205,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5299849934822964,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5848865296672501,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.440823447154836,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5338825481055377,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5027044009725804,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5731125335350857,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3637498998652108,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5343775140514353,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.015880169460911975,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.17768610268549323,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.29570399463885644,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.051948158859555615,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5484386095234453,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,0.014126361602151194,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.8567175640300406,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.8032383261925731,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4085019400843146,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5717609203987595,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.3454565955343998,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.43083209278724277,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.025790682889253125,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,0.04307693389107192,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.4820583353287946,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.3911972273699511,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4522381944534485,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5006862433934918,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.33842588682048236,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.46492062268482004,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3819305306413865,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.47701014675700104,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3682455070944609,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.38727766616882875,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.41719717357674035,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5204453070815174,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.41358984517504693,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.3921276605529995,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.37349078121097024,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.45670896248060033,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.32146052885222276,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.3437904113839345,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.37191370620003295,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.48073940485093436,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3484250316376285,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.3882477471618725,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.4378904561650805,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.5177598964604238,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.41282867933984957,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.434450067172479,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4202237428361002,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5150665965118268,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.39684686752877774,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4036645695810571,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2935971306521309,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.40055140838009795,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.23221006224918228,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.23489857995497476,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.38580301119805227,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.4594511034252253,94
CHIEF (MEAN),Pathomics,Wound Healing,0.3621104572552425,214
CHIEF (MEAN),Pathomics,Inflammatory,0.419229340375442,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.39804432588783645,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.4942215223509471,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.3368756400058187,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.37811043845022174,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.001365006430500415,267
