Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4443331517221897,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.18833098017443484,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.24253613002376173,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.26961742992626536,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.48743466736382224,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.00021166409971828948,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.237478819433958,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.34724268293697624,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5145159100087351,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.09071987786434788,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.263818219289076,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4270045524410043,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.11504111825451635,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.8718647729424152,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.2125560360405736,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.05899819603450562,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.08256838095131935,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.875369501702898,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.2124012657639922,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.1375858985874321,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.45661497150314534,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.015374204494791655,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.22450254153589932,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.23930182237013076,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5473550806762328,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1018233382340239,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3094996716319389,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.37258469086289914,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5176212662844588,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.0407870032705786,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2713231359115936,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.37002704226298355,311
