Model,Omics,Subtype,R2,N
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.05966658138558545,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.48960817165365755,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.48585155712987027,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.17039181296313932,311
UNI (SPARRA),Pathomics,Inflammatory,0.5412544081606332,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5394675471220733,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.0685421125281751,94
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.32997950391124,94
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.367593137659632,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.04414761141311896,214
UNI (SPARRA),Pathomics,Wound Healing,0.3176339816990561,214
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3054719190649382,214
