Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.28631410889785514,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.2964630461298604,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.12582125022151547,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.41662556442761745,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3816968848614254,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2505707423994148,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.18368208665987784,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4158386212596302,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3377526126850041,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2905954713570754,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.1365078599349807,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.43711771960979096,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.03474064276965061,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.0685421125281751,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.04414761141311896,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.12792266606199376,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.04445875786691755,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.08564899445545016,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.16946324737094032,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.07393807635484673,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.43957271537352016,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3236472902075611,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3054719190649382,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5119525367177513,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.48585155712987027,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.30241788141271897,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.30091632226280496,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5394675471220733,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4557909158006006,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2833924537760746,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2755998355977797,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5207860094108202,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.001914289190895646,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.024139646084403332,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.08990493999671112,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.17039181296313932,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5693082035221022,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.2268153785163538,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.8284379615830479,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.5765776271316743,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3634799530089291,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3067262940913119,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.2713517660991188,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.4861958493952584,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.014433643254276096,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.08676646999027726,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.29698342601712424,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.1472597949941279,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4375260032863757,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2678093619559464,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.2697922886333214,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.4992752126031108,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3177717484666509,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.20569187669865974,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.24336975385120885,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4239148298513349,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.36060131915537397,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2958857269579551,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2707515580891393,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4496489048308965,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.29338850518391046,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.273341247397183,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.22255778435204077,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.3903260257053853,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3108290067569375,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.24010665917092167,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.21820712730261038,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.42726117691554033,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.3755918658801327,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.28187339659683575,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.29300500855084666,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.47191315089151487,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.35962426480226417,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.32594092545605724,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.25300637080064936,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.44301556463115344,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.28758727439532816,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.20708295591724968,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.23022075669130126,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.3438201742599539,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.31754189321070847,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.22550814601804925,94
CHIEF (MEAN),Pathomics,Wound Healing,0.22558448215034554,214
CHIEF (MEAN),Pathomics,Inflammatory,0.4465173486253251,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.3447460048043811,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.2885080162397339,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.23392664397868768,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.42238010371804824,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.05966658138558545,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.040523742173941946,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.08594527840256383,214
LVMMed (SPARRA),Radiomics,Inflammatory,0.12054160677596049,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,0.03204238144284821,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.03905399093841311,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.12926728248296726,214
LVMMed (ABMIL),Radiomics,Inflammatory,0.07763850044348475,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4048807145919753,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.367593137659632,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.26254453913509157,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.5258096820402447,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.48960817165365755,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.2974257113951855,94
UNI (SPARRA),Pathomics,Wound Healing,0.3176339816990561,214
