Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3103713884034809,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.16986204849544784,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.20302742753524328,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3126848876084559,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.41731785531291565,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.01196068924316429,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.19937027111066374,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3506595276077201,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.44410985837410333,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.09080747069152784,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.14971294493163978,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.366907932909012,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.19207137235183236,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-1.186537518927555,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.33894965088731177,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.010150326319881997,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.23760349372852407,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.9129421278323346,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.4143785730700549,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.014011125120509282,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4034391573789059,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.15599877798958817,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.23736422725754724,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3361344401566101,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4647973065019113,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.04572766082607216,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.29313441450695243,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.42830701578801444,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.394434166785424,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.04579313893549175,94
