Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.08187506738655492,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.14102126408422755,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.13219526272240212,267
LVMMed (MEAN),Radiomics,Inflammatory,0.06371996975195271,311
CHIEF (SPARRA),Pathomics,Inflammatory,0.2548738575653622,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.26227380794849664,311
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.35780483064827284,94
UNI (MEAN),Pathomics,Lymphocyte Depleted,-0.02717561603012597,94
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.0748685961470349,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.025646555525633663,214
UNI (SPARRA),Pathomics,Wound Healing,0.23666512232947612,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.23250030504396835,214
