Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.018756180358890595,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.10528585622934394,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.12487582228333116,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.1578082863039897,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.08508167903443298,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.13844646780781367,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.18735619131695957,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.19964329953357496,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.006461886020498575,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.10505955462109884,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.11400470327264145,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.12959446081668136,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.09353810577714294,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.364201139976966,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.025646555525633663,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.007734595824659962,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.19463550934313067,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.41142054743418366,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.038618626570849246,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.06963510682104768,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.045164803784002894,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.057764873796467775,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.1712103928770281,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.1831638043589474,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.13219526272240212,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.10538852323933989,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.23250030504396835,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.21959471170162492,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.11088591302577178,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.1448388009160404,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.15472842899912276,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.18902111969743718,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.09241436385398605,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.3767465432085735,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.02339876059014112,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.014404136226487285,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5522581209573205,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.49716686913596986,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.39280516306233326,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.40079318875053804,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.04675510445806208,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.03248974276162131,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.18681712364307645,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.1705514909474749,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.12132209944448169,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.35780483064827284,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.027741920100236017,214
pyradiomics (MEAN),Radiomics,Inflammatory,0.002190237831053765,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.0746376840519749,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.0603135216891999,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-4.964484938198643,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.2161423758679667,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.0852433329386385,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.18321201581431334,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.10908297927245336,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.18206618123842866,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.08493862238301397,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.14920697654237247,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.14011799204200015,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.20463603912221995,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.07304654072295591,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.23426760227901355,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.05791932954254786,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.14175432464072102,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.05131116801313973,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.14757119473648816,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.07389165106579698,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.20930601604150034,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.10879449154868759,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,-0.14138719830288338,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.14162807330511928,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.2548738575653622,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.05029373330216769,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.1549759900519454,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.11243073895387368,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.22465380545099967,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.227459927429765,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.1935133640004536,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.07407547170486317,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.02292912683716275,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.08809262551604058,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,-0.13403953532019486,94
CHIEF (MEAN),Pathomics,Wound Healing,0.09012528874457426,214
CHIEF (MEAN),Pathomics,Inflammatory,0.22290478727596996,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,-0.0175777179681762,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,-0.25904917867650834,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.07844160752183904,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.15081916292725606,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.09457855522298275,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.4319423748384572,94
LVMMed (SPARRA),Radiomics,Wound Healing,0.00602029275246907,214
LVMMed (SPARRA),Radiomics,Inflammatory,0.03433101102886993,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.08187506738655492,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.3757198291392303,94
LVMMed (ABMIL),Radiomics,Wound Healing,0.009697413072045857,214
LVMMed (ABMIL),Radiomics,Inflammatory,0.007413252198602338,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.05410625018297521,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.0748685961470349,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.18767129195814125,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.1823173497446341,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.14102126408422755,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,-0.10070295956667419,94
UNI (SPARRA),Pathomics,Wound Healing,0.23666512232947612,214
UNI (SPARRA),Pathomics,Inflammatory,0.23965387049152842,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.07999427356355548,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.12274763452412873,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.21730069686569364,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.26227380794849664,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.16342745576068762,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.17624498307459624,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.11988346153464802,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.0766480459911576,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.05579746498707161,267
UNI (MEAN),Pathomics,Lymphocyte Depleted,-0.02717561603012597,94
UNI (MEAN),Pathomics,Wound Healing,0.19943380814873413,214
UNI (MEAN),Pathomics,Inflammatory,0.20782371951856393,311
