Model,Omics,Subtype,R2,N
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.10066692173409608,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5853135508272205,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5750304898547935,267
BiomedParse (ABMIL),Radiomics,Inflammatory,0.031755927808998385,311
CONCH (ABMIL),Pathomics,Inflammatory,0.509149275875779,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.504438815298419,311
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.6955763278039822,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.08555252089286336,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.12222043744464861,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.34762973652955975,214
UNI (SPARRA),Pathomics,Wound Healing,0.3007011154689504,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2865685598955655,214
