Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3666757485596771,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.14540907494619537,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.18931335804672067,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3823427251639807,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4861838941927418,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.06563034608239193,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.22729486063592907,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4449157245964884,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5170493883890352,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.01624276498417232,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.1935730538494237,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.504438815298419,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.19561918388503252,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.9203669402148018,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3700964614375628,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.032263898885746434,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.182259301656732,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.9066307951745822,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.48795840704258864,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.031755927808998385,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4850352136437771,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.12940900502293085,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.20403402348659083,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.38229941581179605,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5742281772139655,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.06715507298063761,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2865685598955655,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.4508412618117098,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4803974756297392,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.057003221266152204,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.1939311703066643,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.4167021567173592,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.18098784579806115,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.7510323198062696,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.3993422465343708,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.027577421421492887,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.6031968765902305,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.4843965735292288,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.2162493360367952,214
