Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.601160382444232,267
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.22539568505579932,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.21333439434119617,267
BiomedParse (ABMIL),Radiomics,Inflammatory,-3.952545412673297,311
CONCH (SPARRA),Pathomics,Inflammatory,-0.9603286366812411,311
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.8976043421893967,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.033432658027007234,94
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.5273562469615032,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5107549839142713,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.488674021402671,214
UNI (ABMIL),Pathomics,Wound Healing,0.28400128166100724,214
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2691695936950287,214
