Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.07666880425577494,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.44583210316014,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.1908336833174833,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-1.2620314442985827,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.17115130107145127,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4811265648610358,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.19909666053974018,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-1.034490830519962,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.0442342960532911,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4658094436841924,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.07382217342629194,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.9287226385402232,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.601160382444232,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.033432658027007234,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.488674021402671,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-4.010589625726254,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.7306829043993865,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.014067702204494936,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.5441443143939122,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-3.952545412673297,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.08742188851987143,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.437732149549383,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.18796489033851316,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-1.2528075520180062,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.1948975760807945,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5063910811843362,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.21989146022869877,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,-1.0817178804563534,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.13770120990361245,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5007373060850937,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2691695936950287,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,-0.9426072947070345,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.6193570930216317,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.00748953792241025,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.518000369856775,214
BiomedParse (MEAN),Radiomics,Inflammatory,-4.175006260494738,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-1.0447522426309344,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.21340409559156148,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.7919975092265545,214
FMCIB (MEAN),Radiomics,Inflammatory,-5.96164391025739,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.19374343913534353,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.40471428593366243,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.26530190127374786,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.8976043421893967,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-1.0994502444825933,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.08572328875040225,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.7776175497935427,214
pyradiomics (MEAN),Radiomics,Inflammatory,-6.646842296720193,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.03564579254463496,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.39926021637953835,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.04263942600756576,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,-1.7342663180118558,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.09235216556556292,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.44369762786869626,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.1581822507486571,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,-1.4908463508198033,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.21333439434119617,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5107549839142713,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.19724389259493658,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,-1.1028381173753603,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1511985787557556,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.43530491656214043,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.1857127134173303,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,-1.382969242682846,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.07385789784491925,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.423010415874008,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.12145994435975782,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,-1.4540328633926696,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.21623633306880286,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.5020363296920702,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.19425920289349685,214
CHIEF (SPARRA),Pathomics,Inflammatory,-1.1233647118978594,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.19549389784178162,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4934319096075004,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.1889902062101293,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,-1.1602377081348694,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.12304692700220676,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.43876619823026697,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.1633344887505942,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,-1.3341093675474105,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.14321230594331436,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.44352900953252994,94
CHIEF (MEAN),Pathomics,Wound Healing,0.20660121085431016,214
CHIEF (MEAN),Pathomics,Inflammatory,-1.2699731662566127,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.15886883792162498,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.45319113224930985,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.1737393339581551,214
CHIEF (ABMIL),Pathomics,Inflammatory,-1.229755532171306,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.777071701404692,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.07754776487862136,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.6452419290034039,214
LVMMed (SPARRA),Radiomics,Inflammatory,-4.966168690088163,311
