Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.42836012937964374,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.34202458367281485,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.3517100666770514,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.43395128785207837,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5137443098172176,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4045555167045245,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.33948450222424875,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4716067188221219,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5110283618799178,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.456535297461902,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.29584596963614085,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5280808784017226,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.07483480095102402,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.13257476316689298,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.2979518200254827,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.04006664076289168,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.036383354838418036,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.21105346439493466,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.3833959460390237,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.04534195380284489,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.462465718148216,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4783433460717099,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3822538311911198,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4630897145531033,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5416394924849746,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5130097269205904,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.41725584327194654,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5226452492844053,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.494871228278696,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.44886154073808227,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3251428156666418,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.523179383592826,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.07875870906539717,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.056620356363733304,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.2860028612696026,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.07918329803679014,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.6416414282260168,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.6826494206515428,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.040587869266509,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.741411314708863,311
