Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.14118178123182545,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.5144179438682414,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.20096088249306898,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-1.2641510928739121,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.22008894636331766,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5487007593002029,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2652616542291574,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-1.032984564738062,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.1366571611315366,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.524328626026604,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.13184215111007536,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.9331935666010296,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.3226881459105231,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.14313502118214483,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.23192701350098943,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-3.2501974909773788,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.32245350088885805,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.02405838430195384,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.2357924670548004,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-3.5960050543176623,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.20672684467617652,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5530872283200761,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.22553475630960684,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-1.1827343546288076,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.29492550572868403,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5651136306161653,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2564643563307134,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,-0.9437941512896941,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.26209544364587845,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5329490329945284,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.27915564527373926,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,-0.9619818842326204,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.2813597401799848,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.13047366057738685,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.21900006295750885,214
BiomedParse (MEAN),Radiomics,Inflammatory,-3.292029054264191,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5183978696466931,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.09112256357213688,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.3263462437075848,214
FMCIB (MEAN),Radiomics,Inflammatory,-4.453000768647388,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.26851410187237057,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5258945525438441,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.2963830165705762,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.7944156143253833,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.5712967991651947,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.021575720576390234,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.3929966795542388,214
pyradiomics (MEAN),Radiomics,Inflammatory,-4.515436839126314,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.05305041932387389,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4754579875512971,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.06356230890694503,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,-1.701024725626965,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.12574161069339085,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.4657771284586,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.20435111686378404,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,-1.5181763766138245,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.23869412955174596,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5324278044549494,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2400042397052058,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,-1.1986943725947796,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.19071055407124538,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.45917257792727073,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.21685460532182144,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,-1.255609832532382,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.09486799847331762,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.4511602464904688,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.1753287145007304,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,-1.4862299329844801,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.23289066259968705,267
