Model,Omics,Subtype,R2,N
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,-0.3048878146387024,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.44474158828547483,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4327008802407052,267
BiomedParse (MEAN),Radiomics,Inflammatory,-0.016269558765243053,311
CONCH (ABMIL),Pathomics,Inflammatory,0.40235356762136143,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.35647857830534446,311
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.539150227856027,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.25637917393679477,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.2670684041991028,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.039848967023585535,214
UNI (SPARRA),Pathomics,Wound Healing,0.24850626224389205,214
pyradiomics+CONCH (MEAN),Radiopathomics,Wound Healing,0.261227843113785,214
