Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2981789338447446,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.03258726361010744,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.22048445001194605,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.2248691775155527,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3815111002885573,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1425407997103213,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.20913422669187076,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.29636310450569725,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3526464932128127,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.11985482639004208,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.184358775280983,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.35647857830534446,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.4087992567141072,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.774896868326983,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.1944719684678453,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.042822224281131804,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.5034814749414627,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.539150227856027,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.10847165303270989,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.06387074767213718,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3055041057265593,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.11385649145811694,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.16848446050610533,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.20508128608215037,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4223944450456055,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.220483892814054,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.22221050687194277,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.3467819940264173,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.289481053743723,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.16460587201276755,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.16023657519415724,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.2878184198494089,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.34904966453466635,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.6014365350103354,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.14411299807713251,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.016269558765243053,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.8924497360454684,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.9353503591454115,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.8187804365670135,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.6583524079182459,311
