Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2895238960784562,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.13718915083802097,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.36344167816392436,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.3150551813427902,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3840901611357517,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.05986215509536286,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.33282933255247427,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.41991174074196325,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4031121122404483,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1635862981268854,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.2875285476901359,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.43533330744772747,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.31536249740064415,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.8299621919010485,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.1808388285535607,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.0015405152392945487,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.2859015038280275,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.8079379311221677,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.22220935616444915,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.036901191849052495,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3200830662946178,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.051755107824889346,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3414846300984389,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.26636067247035733,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.41263099095257827,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.12051787962733018,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3805320397404591,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.37030273755603804,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3596630033884465,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.09715073309645794,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2813750733191992,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.2682564837099899,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.27279126758492467,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.719570171228104,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.1369579898383777,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.015013541572576394,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.8484745569305048,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.2842912783289724,94
