Model,Omics,Subtype,R2,N
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.009649408091306877,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.44656227836186413,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4604781748343171,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.013421875072106682,311
UNI (MEAN),Pathomics,Inflammatory,0.37084661521919104,311
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3651159768012675,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.017894616366669225,94
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.4819797206740156,94
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4848103555431893,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.23735982629410124,214
UNI (SPARRA),Pathomics,Wound Healing,0.43777603106808927,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.44422505299908566,214
