Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3649344662747268,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.3127880635145742,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.42568944328088143,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.2951441838466593,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4189212484747884,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3211314781326652,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.36199998566120106,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.2600173613971726,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4126512120190704,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4015361912942389,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3433949934009721,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.31994671603001057,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.07321566389634704,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.017894616366669225,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.23735982629410124,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.013359565715495458,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.059160134958262,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.06723193187312115,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.41192114511072275,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.015126092646128075,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3624610504756912,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4028053464140159,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.4086002566211774,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3651159768012675,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4604781748343171,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.438365984183525,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.44422505299908566,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.3398543557437479,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4378810240575526,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4848103555431893,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.30080848871195776,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.3422295773017845,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.11663661170189044,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.007547682040147885,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.24417816476698628,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.013421875072106682,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.7304680565205319,267
