Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.9596080722333924,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.10524162743364895,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.6587714201437547,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.04531875033860788,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.710052282568935,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.14899920004412703,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.5804529904618287,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.04748722090688917,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.7117520200487994,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.08670466952201361,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.6680889443087947,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.05579941671188837,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-1.7146075567864103,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.10002158067501776,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.72066016314452,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.36493698932790886,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.7914794741632067,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.04220366636768058,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.6382725938089249,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.3522681677892425,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.089212185654203,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.0847149955126626,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-0.6851615356992726,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.04239196941737511,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.8304686171049387,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.0791347724069349,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,-0.6088678633691844,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.10882898334058921,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.9847852744414807,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.03168017672563839,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,-0.6011186314331047,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.1307911048656134,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-1.6187458302597775,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.006303154115186338,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.7178458184514842,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.32992472946948315,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-1.9478289858453497,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.09013440201784761,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.0434971644866784,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.6185268588030031,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.013454363706531,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.004756432765950169,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-0.7293002066051264,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.013923124597680525,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-1.8424458212383406,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.04617751528101488,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.6071230914036809,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.3647331669821541,311
