Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,0.02401477880359626,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5075449319198253,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5041933432748222,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.029465190821813758,311
CONCH (ABMIL),Pathomics,Inflammatory,0.5243527906002285,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5041294731941459,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.5581724711835441,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.38037779485641365,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.38606302386796054,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.13132560549561223,214
UNI (SPARRA),Pathomics,Wound Healing,0.39317790699931476,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3917612516281954,214
