Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.38053320023259685,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.15581036920011704,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.31349910808358794,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.401411866841766,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4571014882033593,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.27976056947132,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3003036168776273,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4485853875185284,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4861537528344452,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.38606302386796054,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.27565203823067175,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5041294731941459,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.043030582051176935,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.6467626063024494,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.1459953634386988,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.03796504473833706,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.006541584616824303,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.7169571210995844,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.20833340797763356,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.024067458986035017,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.41684577369427966,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.23762430475959662,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.2971570192273759,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4011370898248863,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.49449883756693513,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3249408451669876,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3917612516281954,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.48310980845441276,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4777723445435995,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.24734641896138043,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3241823224249373,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.44704510649626417,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.026823687912638894,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.5581724711835441,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.13132560549561223,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.029465190821813758,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.4623146413372268,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.25467281173249,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.7589946835195645,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.6358659646330549,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4190851969439352,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3275639365968839,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.3195684495967853,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.37049423847181917,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.026373614693947944,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.1426557261302137,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.3078018170430945,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.2765981039101604,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3694662621879402,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.06734701867914039,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.2242858498525876,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.3935880504888073,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.34333616720797366,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.13631348499632956,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.2677882893101018,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.35189140087528914,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.43662578717876344,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.293261872213333,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.3426803030617557,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.3730379388974434,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4125767626661212,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.20462188995717834,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.32111632654304223,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.4015436635919406,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.35570223550341484,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.14259946661754397,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.25586441782219527,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.3396541113650806,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.4475426795305393,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.3213638341977004,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.35929007068564,214
