Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4002957783642098,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.3412166401541731,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.545224358080756,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.358106534984296,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.44645465128488526,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.39198446337839443,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.5558290427975245,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3438561248402012,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3970276897561992,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3536534635272095,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.5564916800613245,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.3658202905303256,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.15527314574619333,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.039410771623739294,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.18885003477301943,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.2593876421847172,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.137048879725427,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.03251182797441832,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.1568769173807052,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.27627433585733385,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.42886345707967344,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.36757883874080166,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.5605084524727713,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3664058993092201,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.49656411690164237,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3959616083191171,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.5518498581685927,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.40103541210836446,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4449836239692868,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.32095193856058235,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.5217248122260468,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.36843674414278293,311
