Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.4182766494362252,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.05512800508718485,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2907719625373303,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.40427542545976536,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5148956713974515,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.23919266571460684,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2624897738730815,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4594902312336995,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5288938086409336,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2899793077730627,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.2712160844323651,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5315164187033901,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.15934872368557906,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.7972270755725817,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3526162153113501,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.011675893321584807,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.107240881387481,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.7876250916163057,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.44715999393086303,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.0038079834281514735,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4641155233254617,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.20894455727478667,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.30230266927715166,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.40604925565208805,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.574010214834621,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3146388510706427,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3406976334603171,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.49794732097763805,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5112073391800158,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.21434068687330943,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.2656878211309299,214
