Model,Omics,Subtype,R2,N
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.2511475619623964,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.4515734696803234,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.43077692451101646,267
LVMMed (ABMIL),Radiomics,Inflammatory,0.03657462552169166,311
UNI (SPARRA),Pathomics,Inflammatory,0.4265652397325147,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.43296121322309955,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.5401228099870812,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.0875219431069737,94
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1372240915204408,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.13860681952121712,214
UNI (SPARRA),Pathomics,Wound Healing,0.24862006071842646,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.22592985269289678,214
