Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2287513046402594,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.05600486222437695,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.1521841981418952,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.302013831832045,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.33706524562249307,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.06756037250724911,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.19931067080690912,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.37538358162617025,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3596188237382202,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.04821344115280046,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.17989169918809889,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.390753139837413,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.3696312619688096,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.711358392612301,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.2668134467592025,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.019771039636903187,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.3807781014801208,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.5930599513399415,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.20775302423232822,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.016129372833474598,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.32654444176574726,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.12525726523650382,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.16513394665939063,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.2755703576680648,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.43077692451101646,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1372240915204408,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.22592985269289678,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.43296121322309955,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.36605604505109335,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.07857651039371749,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.12935757946748594,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.39254341713046814,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.3217750672164672,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.5401228099870812,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.20687847051593944,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.020355529398543903,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.7299153103648286,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.9848013171731129,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.0140721588317438,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.556453646740444,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3407408740012746,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.29061325907356017,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-0.0016093425351104695,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.25983689062251525,311
