Model,Omics,Subtype,R2,N
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.8148592585460608,267
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,-0.012183064842027802,267
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.014734195299407338,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.04584700809932862,311
UNI (ABMIL),Pathomics,Inflammatory,0.4200900576119506,311
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.43678487777349295,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.4334758267066623,94
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.20876727827843244,94
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.19597335921224535,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.1799307132495882,214
CONCH (ABMIL),Pathomics,Wound Healing,0.14952371722455815,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.15577194750931245,214
