Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.2721950997208713,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.08341676665606468,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.057121744742728686,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.314588854840573,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.014734195299407338,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.19404694634747421,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.15577194750931245,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.35614763975166586,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.10447692300415112,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1901704687602075,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.14272903618246646,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.39999238562045747,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.8353363094875343,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.5309719173871912,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.22187395911480068,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.0018656029738099988,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.8686209248961376,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.5092626547073746,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.238678985910993,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.0035036378892182585,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.2728806890432278,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.030009578353180855,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.030446726346078923,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.37094191133516585,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.10692540314153853,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1307587092520508,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.11233520426516519,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.4069993898553098,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.18094341367741884,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.012587951692365706,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.08096074733323855,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.41536637540253896,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.8767436165039115,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.4334758267066623,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.1799307132495882,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.04584700809932862,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.968682886554356,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.5810329397718832,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.3967438384133488,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.1228779644455722,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.07760229548348896,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.1458767405242274,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.07692005890748932,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.43678487777349295,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.8373375212646175,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.5358765038433166,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.25721439545759717,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.014005797618280358,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.4672027593932364,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.1257595452344249,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-0.06935471787813219,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.2855874543119712,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-0.3532966165808349,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.01200821833679,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.0007782629840344946,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.27474027313608074,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.10265616941188016,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.10844019011939754,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.08828875840292383,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.33861892614365585,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.2014599083930979,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.05898681693495389,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.06531354182960003,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.2962902623141639,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-0.34630419711672933,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.03387280767274592,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.0017334046570234296,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.26886366606121603,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,-0.09112073365134599,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.10656929350125643,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.08933396009735528,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.34764915857378165,311
