Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-1.0756506808908664,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.11511974792197066,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.9368315309443749,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.06782221848382242,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.8796634672773491,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.08838293463111924,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.9401564772134252,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.0753230987846707,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.0415407571253583,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.13078372648228043,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.7357568765400453,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.03688847749749424,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-1.65066318513274,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.04884064662587062,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-1.1422975248151186,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.22003122403324116,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.5055909125261295,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.027640143952459395,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-1.1270609897145052,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.30926244541667414,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.3426683977136915,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.04408747486524223,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-1.0295173884680526,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.19287385110035316,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,-1.119029543615837,267
