Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.12627948461609195,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.46385613875448295,267
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.462806490448467,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.04515666439282939,311
CONCH (ABMIL),Pathomics,Inflammatory,0.44976827040807976,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.45306417930862086,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-1.545539146551758,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,-0.03015260477325965,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.007720820727318056,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.013899581849646236,214
CHIEF (SPARRA),Pathomics,Wound Healing,0.4217326855746625,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.39498317515300074,214
