Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3327323886475697,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.4477030854917674,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.3468242551199906,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.33582766975216216,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.41337120507642644,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.16090584141240782,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.35259961450862265,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3895265625983524,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3873032729228688,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.007720820727318056,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.3788674073208732,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.45306417930862086,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.20864985968018734,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-1.7463287483021737,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.02116757811220693,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.014771323121926305,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.21529817877998436,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-1.6911446665940884,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.023250587962420743,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.003613890275272702,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.35696826082765887,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.31959847977473843,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3309274643551532,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.31706498851500187,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4405385468112931,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.1305406477526807,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.34185623419387134,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.40231338890527757,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4363325797215726,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.12531053762850575,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.33873366284551276,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.4014259456869663,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.18073118841325253,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-1.545539146551758,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.013899581849646236,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.04515666439282939,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.4920280435166351,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-2.4073469397584755,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.5340228393607174,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.4291725665460884,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.33025490386556866,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.2893185137242378,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.21287177974910398,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.2883912926586334,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.22037771640607562,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-1.8982254489392187,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.0010528494739594496,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.004941126390512807,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3366585211544961,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.35729543279786946,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.33045619125880943,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.3390092117597495,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.29244671155331936,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.5079609991561023,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3173989121086328,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.2593563095226573,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3753045888603276,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.2643788091831123,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.39498317515300074,214
