Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3250314229611463,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.03562588961330082,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.24244519947797627,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.1320308208924783,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3621857339978496,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.0795382026692214,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.26099727889306135,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.2151485933876075,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3671990108571912,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.08974084670160154,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.24148543474899464,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.20356490400239835,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.014591623616110772,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.7095490450096371,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.02218445497326127,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.04646471151717835,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.04866358966382389,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.6646108347582924,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.014154842307268378,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.07197304318074238,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3557289264681637,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.13004162859503965,94
