Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.43981401534342124,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.0625193712312665,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.49362204076124483,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.16095936012954715,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4269344015284823,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1429457663717587,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.5227595269397628,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.1360855420467919,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.32524338940082376,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.020379168208976672,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.4498908897299506,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.15929553649295392,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.20753887487454759,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.059893288865902505,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.32029647291331886,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.10306203509810663,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.018882577692031943,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.3383572407929001,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.15745069039473714,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.07139959146000119,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.37796214511624027,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.05188168993520026,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.47219431263974754,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.13786707260294628,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.41886815234750563,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.11818925660961943,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.4674191864380226,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.1963688963177186,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3889868705180516,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.12314559905216826,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.496694390275933,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.26769559460640535,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.21420131059030711,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.15363683239611747,94
BiomedParse (MEAN),Radiomics,Wound Healing,0.2886526236022121,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.027662540476702135,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.22514139068181627,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.45496100127225025,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.059920581856986344,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.7424846003365217,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2313147908773313,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.10954598206731347,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.37094954957281134,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.05347834523570427,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,0.09083491791018117,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.0616516507954008,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.06483137004898165,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.12263193814434659,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4092408880051187,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.09834841318051146,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.46122553257101184,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.2240137658146778,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.372333752208327,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.022386170029331853,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.46757697315081026,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.08320203612674237,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3951968498256261,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.08010625036441088,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.4744654328717143,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.14840512107105142,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.36445975267155284,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.05324371850900689,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.46752784823551896,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.04853570723123968,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3473514697398925,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.04121755045544728,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.4573992633616304,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.03534578874686645,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.39654892284214305,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.14757433735264547,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.48113458991524083,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.1801960178476696,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3694632210718921,267
