Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.1506528290016862,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5126456774846386,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5055147804540572,267
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.004944114313181425,311
UNI (SPARRA),Pathomics,Inflammatory,0.3753433594296689,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.38157371531771667,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.4694912266784592,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.06970649278865848,94
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.09080557980115112,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.25450787351642656,214
UNI (MEAN),Pathomics,Wound Healing,0.17408604836126607,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.17561135515829562,214
