Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3201233409145132,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.18354110573897398,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.07580412062707886,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.24700112738421232,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.42268777861457896,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.059643666433964015,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.143491400122139,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.33267340739936935,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4133807518655074,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.07501511627806123,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.1610357413352309,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.32556852437759265,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.20522446109054182,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.6204414070543749,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.26505249504872785,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.035855029623620416,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.17238630290474077,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.5978586904917345,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.3039676423859152,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.004944114313181425,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.38600129737459776,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.13098842965999813,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.15580204955511168,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.27397010290794943,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.49315268201998685,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.09080557980115112,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.17561135515829562,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.38157371531771667,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4150206655177564,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.02113856692249705,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.0541896418009401,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.35046539692590917,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.18295042256399663,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.4694912266784592,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.2615859087364618,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.03507627573258243,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.4645594449504258,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.042290404351367,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.9263197255686251,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.5733341985217899,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3675721602578269,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.2907141075301123,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-0.07588744891872667,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.23214059041020674,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.1874099139001506,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.5996894805568547,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.25450787351642656,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.012021819605371187,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.32743281760591936,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.21573697506013145,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.11468296131307931,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.28592976668009484,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.27461753834898184,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.20350741802790373,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.00016180653849673376,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.1959806558571846,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3876397805896298,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.10150387719073484,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.11207547531540718,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.27727475277310387,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.34951040720554505,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.2722101642641539,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,-0.016029387607193524,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.21323188973742047,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.24872314348005697,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,-0.21806020097856194,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.0006732674932162785,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.2107595846827094,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.4132267969903739,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,-0.12364704153195838,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.10720007028122147,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.29679057584720003,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.40008524102010246,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.13011994465826038,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.06078436912373131,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.25655558721790883,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3454341497059461,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.29628898333652165,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,-0.0707691622501232,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.20814559863401805,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.3026098494409344,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,-0.2783083773583692,94
CHIEF (MEAN),Pathomics,Wound Healing,-0.004296070062727031,214
CHIEF (MEAN),Pathomics,Inflammatory,0.20053435645535145,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.35046858327603203,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,-0.19601868881349604,94
CHIEF (ABMIL),Pathomics,Wound Healing,0.003866485010841192,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.22404659938423654,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.1845561803469049,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.5528457680272234,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.28244560413081854,214
LVMMed (SPARRA),Radiomics,Inflammatory,-0.0640691252292207,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.1506528290016862,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.6179927048649525,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.27970320305907825,214
LVMMed (ABMIL),Radiomics,Inflammatory,-0.04725409602229158,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3798797274859781,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.02742274108945253,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.07065546267469436,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.2905154600721762,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.5126456774846386,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.0693615124284227,94
UNI (SPARRA),Pathomics,Wound Healing,0.16573283739178712,214
UNI (SPARRA),Pathomics,Inflammatory,0.3753433594296689,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5055147804540572,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.04788578218518269,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.14424708263132613,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.3648387631833079,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4449775661531571,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.13743940000215593,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.032297722066968126,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.3515522842198613,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.404587461923008,267
UNI (MEAN),Pathomics,Lymphocyte Depleted,-0.13901829514281916,94
UNI (MEAN),Pathomics,Wound Healing,0.17408604836126607,214
UNI (MEAN),Pathomics,Inflammatory,0.27911566164260915,311
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,-0.18306386954654363,267
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,-0.5586403118774361,94
LVMMed (MEAN),Radiomics,Wound Healing,-0.27901427592998873,214
LVMMed (MEAN),Radiomics,Inflammatory,-0.03798767212401688,311
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.4206767704145108,267
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.03807992477356936,94
UNI (ABMIL),Pathomics,Wound Healing,0.08638172677624123,214
UNI (ABMIL),Pathomics,Inflammatory,0.347378617789441,311
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.22027293657017766,267
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.4195716466265187,94
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,-0.24689422533617233,214
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,0.027017895597437613,311
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2963778583416441,267
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.17672620128985583,94
LVMMed+CONCH (MEAN),Radiopathomics,Wound Healing,0.05584795367340367,214
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.25038487351944283,311
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.4540027514682127,267
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.014356795451511473,94
CONCH (SPARRA),Pathomics,Wound Healing,0.10201952271431713,214
CONCH (SPARRA),Pathomics,Inflammatory,0.3666127432327525,311
LVMMed+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4292199075809131,267
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.06579744957252676,94
LVMMed+CONCH (SPARRA),Radiopathomics,Wound Healing,0.10695741627959232,214
LVMMed+CONCH (SPARRA),Radiopathomics,Inflammatory,0.338378466838816,311
