Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.14085163733822803,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.33699290634860557,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.31849953528946895,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.03533150624786552,311
UNI (SPARRA),Pathomics,Inflammatory,0.29045118828277583,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.2882640463906371,311
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-1.7157943418654216,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,-0.38610471497596555,94
LVMMed+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.3905932024124017,94
pyradiomics (MEAN),Radiomics,Wound Healing,0.03402007114252115,214
CONCH (MEAN),Pathomics,Wound Healing,0.3147049772732835,214
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.27124745334868305,214
