Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2160919989873249,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,-0.764314533101988,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2330719436829256,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.21229572720989986,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.25467189020287195,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.5852024969219234,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.23128840869234246,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.20815315165845982,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.22124444485511696,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.4517976537789976,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.21699518983667976,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.26893104781682786,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.18686289587752336,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-1.9813845598795354,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.026956526070805786,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.0239159087507681,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.21751076136555003,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-1.7157943418654216,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.0040343023873594674,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.004240199615432982,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.1975447045419798,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.5520721323630315,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.23177244402616903,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.1834164647073312,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.31849953528946895,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,-0.5322769836727699,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2279983957123265,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.2882640463906371,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.27971945035442847,267
