Model,Omics,Subtype,R2,N
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.03603785807321214,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.44135045682287954,267
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.43899845573763985,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.19907063585591966,311
UNI (SPARRA),Pathomics,Inflammatory,0.5471456103825536,311
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.5526564153124532,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.2343705369508965,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.4939011028645659,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.49047930691376074,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.20172010886720426,214
UNI (SPARRA),Pathomics,Wound Healing,0.33329721359253994,214
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.3545051755908889,214
