Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3024616293324116,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.41495932167991656,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2178214183566064,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.4756492546710466,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4090333848945983,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.43355793395547637,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2856715373206895,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.482773276872834,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3832247777338553,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.49047930691376074,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.2946868541054989,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.48497826142833045,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.03410166468191966,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.11669909471906537,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.23585265235793895,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.19907063585591966,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.014657272430437684,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.06400020274116969,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.259566188396841,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.08718393855055129,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3623205304768262,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.41633402818722076,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.30242475095421983,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.5036958506638263,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.43899845573763985,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4653111408724039,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3396605491803699,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5465142126201203,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.40355009991208135,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.41696827743586784,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.31840681167239804,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5307187899644261,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,0.01855752023261148,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.2343705369508965,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.20172010886720426,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.1960149024780018,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.151234876434708,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.11185340176389835,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.5684150153381737,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.3207544169724059,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4282513964960959,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4411874541317746,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.3545051755908889,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.5526564153124532,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.016933464385425756,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.053209875807341156,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.5246837013450925,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.22213197197476564,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3057542744061359,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3764248259145715,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.13924613830665356,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.4566669116766148,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.21492811654812283,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.4111209855924497,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.1516584710618134,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4597842619481247,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.37444280700795274,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.47195772228890853,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.27374052627799905,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.47668062624826024,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.27878992873474595,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.36054929152581017,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.213234377414681,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.43975233262756086,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.21748911552032846,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.3900495008754453,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.16003772526204685,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4604223888740583,311
