Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.3597181227543941,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.20775580766378832,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.23762586216742343,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.44494190728030314,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4750544298071012,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3476578652306159,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.2318141665549216,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4909053392804855,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4890470177246774,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.40083147241558026,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.22307572451460633,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5514246028853225,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.2373803854293175,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.4862912167880691,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.41117287522158374,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.051662079172185904,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.147521507179587,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.5048663479862525,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.5320634705329697,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.0738011868660714,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.4242130620599326,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3368200142250909,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.2860238038165134,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.46267221199445197,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5267190201958796,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.41800799266902,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.33465240039646493,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5377683193530856,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.45968408603462785,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.29366784410626956,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.22722884383999065,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5130516186646124,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.22148872881790638,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.32991002960324867,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.38494632523189676,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.09833880795202699,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.7089345655206338,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-1.0290013935503377,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.1938521703906453,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.7456858454322342,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.42144941480023623,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.29008582251367787,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.21444192944412488,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.4438548188417887,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.11813574318652487,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.7683736518219504,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.5435070034812732,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.18293185513689703,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3469457812590172,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.22163826432979217,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.22749396612988926,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.4553581774963159,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3363435239535556,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.18793066474634923,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.187613452199768,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.41608351776211283,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4589579717486457,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.32208746775288977,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.26660273562421655,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.44935487332662805,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3827190169532243,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.15344019049697222,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.1791194580605714,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.43286106688576464,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.33302724550621143,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.22552136876376272,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.17459000267420544,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4201921076277013,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.47234456469905317,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.3334583703030619,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.2864409576541226,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.47173871481772855,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4596940145273446,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.35553010435915455,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2521996242138451,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4416069343919158,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3866948307764818,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.20246005518959587,94
