Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-1.0921949485867906,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.1301316466700413,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.9009703427230267,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.06537065301160938,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.9030614678092277,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.09922354755916407,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.8961219689348754,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.08147734842974153,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.0937902775069435,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.13077990297909126,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.697364452044652,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,-0.04307460068510083,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-1.6260285584262832,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.04400592451772822,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-1.0993511741084792,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.2169139471684387,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.4929375152521032,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.03110452803144248,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-1.0869417307745461,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.31837965976759475,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.372558303271504,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.05135946606740349,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-1.0183960104531473,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.18321918185464425,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,-1.1581265336603188,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.01387980144382428,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,-0.8788535148456944,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,-0.04707883517342859,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.385210358090346,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.009046550905308592,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,-1.0200290152623652,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,-0.21543134701639732,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-1.549941807362703,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.05397048160451401,94
BiomedParse (MEAN),Radiomics,Wound Healing,-1.1387431460339892,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.2780319269298075,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-2.7502665012921814,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.1963026009833888,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.9348950776237435,214
FMCIB (MEAN),Radiomics,Inflammatory,-1.2691248817100713,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.7259229747060312,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.20234540423335012,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-1.4057472920125043,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.5403095152650284,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-1.796585257562373,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.013133870852437557,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.878902293670361,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.2775481076277153,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.3774363121297628,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.04680261353291626,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-127.37931437454446,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,-0.14491275589304053,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-1.1195571783636358,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.14439899799207379,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.9892298028185347,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,-0.05057967275755204,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.9662663434495631,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.0635903891742422,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,-1.075280397577845,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.012447945314967623,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.137418540375739,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.050476854711261954,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,-0.9021483622984463,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,-0.16956953224561833,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-1.2680566942475378,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.10375832920926542,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.9344796399013071,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,-0.06672585897908334,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,-0.9780361953270389,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.08985441517516923,94
