Model,Omics,Subtype,R2,N
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-1.6652964829366406,267
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,-0.913918489667545,267
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.8365520052060513,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.23767504106630288,311
CHIEF (SPARRA),Pathomics,Inflammatory,0.10968405166021578,311
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.07548320392143681,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.0018837342333605234,94
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.14618551671321134,94
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.13895083331096447,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.8448949437780937,214
CONCH (ABMIL),Pathomics,Wound Healing,-0.6466898116710629,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.6801290270577238,214
