Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-1.0750367217268781,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.13895083331096447,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.8524527061473299,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.07048801931605309,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.8828882257195765,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.11594814906291229,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.8253355722115494,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.04469966423394056,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.9850012590186648,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.13728262048918938,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.6801290270577238,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.013048928757717904,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-1.7722665670717461,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.07433330967385565,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-1.0251777009069856,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.23767504106630288,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.725546163104684,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.002012187537197674,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.982070511386826,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.27815871342265686,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.2735925883207475,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.012116906481422496,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-0.9430437190993073,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.11283420143734957,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,-1.0701657372754836,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.03455710037507931,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,-0.7997433542944641,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.007042176298245328,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.226661987317752,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.01800313110380458,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,-0.8120347614119716,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,-0.03796954468879288,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-1.6670612091153822,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.0018837342333605234,94
BiomedParse (MEAN),Radiomics,Wound Healing,-1.08464435761723,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.2907478409539266,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-2.5685424881370396,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.1759813276300164,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.7029162611408921,214
FMCIB (MEAN),Radiomics,Inflammatory,-1.0431011255785418,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.4603230309611743,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.09033140198370315,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-1.1897186094001073,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,-0.3688749415023105,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-1.9094995773277037,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.037730059622174794,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.8448949437780937,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.27224936475652806,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-1.3620817649359003,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.08848101347272908,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-89.81351221100202,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,-0.07519533038442705,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-1.1234849450567816,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.12997041757658567,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.9681256664932529,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,-0.03414242151558344,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.9346506123419571,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.08961791833848554,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,-0.9814091238105394,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.052504173601092496,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-1.1059103118507045,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.07179709582885063,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,-0.7939730858167304,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,-0.05930940803978091,311
