Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.45928584731639677,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.18147905657955377,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.2650397854419515,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.38858292976810593,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5392624300993993,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.34172334260908854,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.23861159651781672,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.45592593821552363,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5547171542429032,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3468257793170464,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.23214623612725394,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.5100838818062399,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.08945256866430418,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.6215452830673858,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3524643936184597,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.05193585318638538,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.05601875775476972,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.6026342990157192,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.43505257869908265,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.023325825160819713,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5029376583062317,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2921998533250134,94
