Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.5114679989411764,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.3845061662987186,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.3840066682460387,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.16357156865473654,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4904714129844562,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.40770932447600583,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.38075594829022275,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.197514856827532,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.48103776445610447,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.31599411875572836,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.36893401824960237,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.17105452407187927,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.09838989190146075,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.0035681935410132315,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.14867541790111427,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.006968943306183695,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.13466340056453707,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.045853302054070455,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.049704147894426676,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.0443328439280104,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5004502346963322,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.43986090035673,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.4656135882498601,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.2979298075374238,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.48478600157908547,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4394243119480308,94
