Model,Omics,Subtype,R2,N
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.1826948846146903,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.6380948995005986,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.6388298467795068,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.3997489236649845,311
UNI (SPARRA),Pathomics,Inflammatory,0.5569969344863046,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.5380205403774749,311
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.20281915697518405,94
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.6514996104002055,94
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6443722287084066,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.14001964330304872,214
UNI (SPARRA),Pathomics,Wound Healing,0.5736692219296211,214
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.5781148247889195,214
