Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.47747097947065975,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.5629689551833343,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.46616398541091764,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.35943276065414864,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5109343382849016,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.5792707234377283,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.48612637789901414,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.49112810494966486,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.5307925777931721,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.5839933741763226,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.4875207433184281,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4973431936174949,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,0.1826948846146903,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.20281915697518405,94
BiomedParse (SPARRA),Radiomics,Wound Healing,0.14001964330304872,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.3997489236649845,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,0.12423712998435088,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.10252110178717533,94
BiomedParse (ABMIL),Radiomics,Wound Healing,0.12294604387945574,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.6046532078973104,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5896062271241163,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.6202449021402268,94
