Model,Omics,Subtype,R2,N
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.00867109787003284,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.49663989670541064,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4896391690488143,267
BiomedParse (MEAN),Radiomics,Inflammatory,-0.02452801084024614,311
UNI (ABMIL),Pathomics,Inflammatory,0.49799891723125034,311
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4918872878306062,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.029975226865655014,94
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.4465874178353475,94
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.45255962717456866,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.2775020273016404,214
UNI (SPARRA),Pathomics,Wound Healing,0.44559716980170483,214
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.4330688568988753,214
