Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.35691619784106154,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.27845823874050546,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.3714253069691963,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.40353346471418605,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.43770726582190955,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3493702674722712,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.34835559803869753,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.43013408231298955,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4348169481819457,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.41592579155520604,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.35128212885737375,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4918872878306062,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.056813609160984324,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.11684211491264906,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3317849041342791,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.036461823644020175,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.03683402705164052,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.14953717481100837,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.4159916300125459,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.09401647455708195,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3889593214208813,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3683206296532009,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3821955447077988,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4307491035518365,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.4877694412487894,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4304261164016967,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.42915252041121354,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.47986610190877155,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.45580733073024404,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.42085035750064403,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.3411712692793879,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.4861730804935709,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.0844053195634511,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.029975226865655014,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.320679802669251,214
BiomedParse (MEAN),Radiomics,Inflammatory,-0.02452801084024614,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5504920924016519,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.3452251166824507,94
FMCIB (MEAN),Radiomics,Wound Healing,-0.8805058832886599,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.9318176536669469,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.35875461276942755,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3769046744383605,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.3187054416911438,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.36689270353518555,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.00867109787003284,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.31477725185376726,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.46642254099199243,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.3975524239760868,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.3495769399234262,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.29731964566012103,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.30076220344305293,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.4109612998116534,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.3236360092158209,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.29088588758907796,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.35651637078834086,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.38806579520348705,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3902133041134578,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.37566359714255926,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.42034392301673873,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.3851061243955408,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3696566974545321,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3173260906409291,94
