Model,Omics,Subtype,R2,N
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.033369888792745384,267
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.43413243967487325,267
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.43011322772787786,267
BiomedParse (MEAN),Radiomics,Inflammatory,0.07106768497646576,311
UNI (SPARRA),Pathomics,Inflammatory,0.5263193598372427,311
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5111940964615428,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.10152085827280244,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.44688747142408036,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.43660072435461816,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.3876860139429448,214
CHIEF (SPARRA),Pathomics,Wound Healing,0.28295213018264276,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.27173905117887964,214
