Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.2566629984952832,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.2584881006197921,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.17470241707925593,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.4060443596398292,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3546501260240216,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3521323759141254,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.17464007376091628,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.43569700520587007,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.32830162175214894,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.43660072435461816,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.17960440036964698,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.49088916300106344,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.143684963510611,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.19499762862239867,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.413799233101223,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.03294160192261708,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.11118382464018839,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.18424778992338386,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.5226426957645096,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.05327931448108303,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.33196198615067096,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3412690013066243,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.21766904855104352,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4420404985482036,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.41513929301938124,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.3505512524870026,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.2600866382944024,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.5111940964615428,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.34648411673317814,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.29071934060616145,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.19150641294910253,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.5069290508475073,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.15788310876740708,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.10152085827280244,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.42078926809426753,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.07106768497646576,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.6604828348896052,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.5288954549290823,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.1411694294748482,214
FMCIB (MEAN),Radiomics,Inflammatory,-1.0763800790759404,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.27113644628812505,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.2575761100111611,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.10323026061367502,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.3827300724699487,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.039506874060871944,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.4233981446595989,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.5354552193324724,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.30181645373032473,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2730741898761432,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.3185168049477133,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.1489706656502935,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.4401504797237784,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.2364704730304028,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.266996180777217,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.15814825216162443,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.39139085776914184,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3402724324783706,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.39551155647596803,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.27173905117887964,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.42256724912159827,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.29683440715161336,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.2287909518800464,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.13038277941853593,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.38700636163134106,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.22730861890079557,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.2965892508540605,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.1332991515868608,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.38074649740320465,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.35696185842650463,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.40319157432194475,94
CHIEF (SPARRA),Pathomics,Wound Healing,0.28295213018264276,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.4451395957680204,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.34835609841605564,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.395514882691551,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.2380118333075063,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4065996869356643,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,0.33872963166794634,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.17540083843241805,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,0.04415850460847037,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.3073947374334026,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.23984402404734284,267
