Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.02125068488346593,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.11608254364486348,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.08081657860642832,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.38722245730810234,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.03252475828283463,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.1968210397559116,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.06169227466257743,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3935206586513522,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.06795234891949031,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.1370658705595632,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.16317817636174814,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.39995277527790396,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.17294627930072903,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.09229102380495835,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.41095538392703546,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.20137589231473807,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.21203719740994198,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.21964595912844875,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.5682415072430449,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.13392931248310214,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.077892359081013,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.028834457140704428,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-0.03562663548857414,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4355141400604078,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.09562040008984374,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.12546625345164608,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.010502201002982825,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.46186641170902465,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.005403507602409818,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.05097520970198821,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,-0.08841997995434348,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.4106873818395662,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.21074449839457765,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.12408727524516339,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.40583830744929417,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.2093814714533515,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5708584733122215,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.3367312235341222,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.2302205375772695,214
FMCIB (MEAN),Radiomics,Inflammatory,-0.3943769701643767,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.003826076283880653,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.02635988626729735,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-0.18066527141123445,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.34675426786304564,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.07877752397240667,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.17640677034898755,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.6143084445705946,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.08693213782723341,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.04268446342398646,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.005717660213294895,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,-10.274419917528368,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,0.4350063801498105,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-0.04607261938407925,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.02203413882100469,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.09794201600312635,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4162601040561418,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.038271990916066034,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.13644165678577802,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,-0.08272951505409609,214
BiomedParse+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.42635804964359403,311
BiomedParse+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.027138458506358765,267
BiomedParse+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.030073114485362318,94
BiomedParse+CHIEF (ABMIL),Radiopathomics,Wound Healing,-0.07845358239052258,214
BiomedParse+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.42042090653027175,311
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,-0.04036858211159733,267
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.033165785481615084,94
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,-0.12610662926230765,214
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.43722666021065315,311
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,0.08300020462571989,267
CHIEF (SPARRA),Pathomics,Lymphocyte Depleted,0.13547708686270765,94
CHIEF (SPARRA),Pathomics,Wound Healing,-0.07573663706047373,214
CHIEF (SPARRA),Pathomics,Inflammatory,0.45582148744256257,311
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.08892923293738064,267
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.09075997924247414,94
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,-0.16643354396459875,214
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4240952130838126,311
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.09399499133520517,267
LVMMed+CHIEF (ABMIL),Radiopathomics,Lymphocyte Depleted,0.04399555516069009,94
LVMMed+CHIEF (ABMIL),Radiopathomics,Wound Healing,-0.20176351087310418,214
LVMMed+CHIEF (ABMIL),Radiopathomics,Inflammatory,0.34490179874127114,311
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,-0.025726854912784924,267
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.02000037644190944,94
CHIEF (MEAN),Pathomics,Wound Healing,-0.09879793696201866,214
CHIEF (MEAN),Pathomics,Inflammatory,0.4217177179627587,311
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,-0.0011318959340869128,267
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.055375927255285284,94
CHIEF (ABMIL),Pathomics,Wound Healing,-0.09407763668726576,214
CHIEF (ABMIL),Pathomics,Inflammatory,0.4341853186151319,311
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-0.17360493706722702,267
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,-0.19069907491282856,94
LVMMed (SPARRA),Radiomics,Wound Healing,-0.5742751883849126,214
LVMMed (SPARRA),Radiomics,Inflammatory,0.08381312166558019,311
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,-0.24929631772731953,267
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,-0.13714412544024368,94
LVMMed (ABMIL),Radiomics,Wound Healing,-0.36377996813606295,214
LVMMed (ABMIL),Radiomics,Inflammatory,0.02183551931224348,311
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.015231315643880028,267
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,-0.13394473574088428,94
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,-0.11567595564321853,214
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.3773712666092299,311
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.11854152201663992,267
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.13096238013283112,94
UNI (SPARRA),Pathomics,Wound Healing,0.015732310756017998,214
UNI (SPARRA),Pathomics,Inflammatory,0.46486647470759557,311
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.10623823874710425,267
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.10775103779104389,94
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,-0.0012432114797029659,214
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.4502799889237846,311
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.028638183999682654,267
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,-0.003155416185835591,94
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,-0.12955134247923383,214
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.41476032579450395,311
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.08607471071911943,267
UNI (MEAN),Pathomics,Lymphocyte Depleted,-0.02736858034359546,94
UNI (MEAN),Pathomics,Wound Healing,-0.028073080836235276,214
UNI (MEAN),Pathomics,Inflammatory,0.44495163520681646,311
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,-0.18520392687659504,267
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,-0.1518458705923038,94
LVMMed (MEAN),Radiomics,Wound Healing,-0.4997939804673399,214
LVMMed (MEAN),Radiomics,Inflammatory,0.14815396141297754,311
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.011390671584335599,267
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.04351919968780005,94
UNI (ABMIL),Pathomics,Wound Healing,-0.08745435063273144,214
UNI (ABMIL),Pathomics,Inflammatory,0.4251112102674328,311
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.1559226563893381,267
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.06638520595156161,94
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,-0.4381162701855972,214
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,0.20938993369725878,311
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.03639781552094523,267
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.15466831021264527,94
LVMMed+CONCH (MEAN),Radiopathomics,Wound Healing,-0.1217827133113667,214
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.40107174355600095,311
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.06651465569408754,267
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.1967284960142578,94
CONCH (SPARRA),Pathomics,Wound Healing,-0.07521569139012207,214
