Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.17307542229819428,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.15587935648997187,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.11855285400694071,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.37470654578511053,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.2654217702103623,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.24334525365227166,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.14837287874023164,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.4228031509834633,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.2305460238181185,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.3537137287071257,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.11627485802842141,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.45209207210346214,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.13357446306505394,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.228838198515392,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.3993492372382941,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.04543122439478797,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-0.1378926618304781,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.15366056427340125,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.46061795246561754,214
BiomedParse (ABMIL),Radiomics,Inflammatory,0.022126842882270625,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.24419260767644713,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.16586652256248202,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.16053241005264962,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.4186553333265567,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.32108830989465553,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.18519162577447823,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.19019978622096334,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.47299929517360817,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.23934562151532612,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.17054515769036016,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.12931138665212483,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.4551745907250634,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.16114745670323005,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.1569466363248584,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.40922556734723736,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.06294680013468401,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-0.5892135814131647,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.5269363299798184,94
FMCIB (MEAN),Radiomics,Wound Healing,-1.112191710472501,214
FMCIB (MEAN),Radiomics,Inflammatory,-1.1611522724731325,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.16314388616022635,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.0012769788057830356,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,-0.018491769931796576,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.3095407056114111,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-0.03211893137728161,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.4316235590111923,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.4574041068908785,214
pyradiomics (MEAN),Radiomics,Inflammatory,-0.2811136238908267,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2049075417457199,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.1877472910536645,94
