Model,Omics,Subtype,R2,N
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.4005654200867244,267
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,-0.45579894142306077,267
LVMMed+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.39516815116558246,267
BiomedParse (SPARRA),Radiomics,Inflammatory,0.039790253019843624,311
UNI (SPARRA),Pathomics,Inflammatory,0.3929082909110918,311
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.3949260791418995,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.07584566994900666,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.17382459514665216,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.17804593758902854,94
LVMMed (MEAN),Radiomics,Wound Healing,-0.8661700867989395,214
UNI (SPARRA),Pathomics,Wound Healing,-0.29124912599133523,214
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,-0.29362489576006334,214
