Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,-0.720920538300956,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.041428071411172884,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,-0.47102303817764724,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,0.2731907971815316,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.4446977508585266,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.11382868749088226,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,-0.3662121276135877,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,0.3332206528587218,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.4399632766979231,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.17804593758902854,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.3280632343955854,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.3711739736482902,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-1.583219981598472,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,-0.18024648046146652,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.8756362577354972,214
BiomedParse (SPARRA),Radiomics,Inflammatory,0.039790253019843624,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.4005654200867244,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,-0.15238712260729104,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.9559442238147171,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-0.01777722131184345,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,-0.6942482895028435,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.0363156840758867,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,-0.40851230174028963,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,0.3052953427885722,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,-0.481049532563671,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.08859323513806105,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,-0.33113735953415824,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.3805684125847715,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.5871707003921796,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.04217694443027098,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,-0.31874676627643184,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.36032028199110133,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-1.4425930578328439,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,-0.07584566994900666,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.9186479770713607,214
BiomedParse (MEAN),Radiomics,Inflammatory,0.01685330459817025,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-2.102488517058749,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.2558888089342368,94
