Model,Omics,Subtype,R2,N
BiomedParse+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.22611645951762893,267
BiomedParse+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.6049919363184948,94
BiomedParse+CONCH (MEAN),Radiopathomics,Wound Healing,0.3065237528395963,214
BiomedParse+CONCH (MEAN),Radiopathomics,Inflammatory,-0.08911251564554101,311
BiomedParse+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3220506375427741,267
BiomedParse+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6371468611524524,94
BiomedParse+CONCH (SPARRA),Radiopathomics,Wound Healing,0.3104633179786561,214
BiomedParse+CONCH (SPARRA),Radiopathomics,Inflammatory,-0.01988991928596895,311
BiomedParse+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.10272590856632291,267
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6341147050876426,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,0.1055974117920343,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Inflammatory,0.07760795188426584,311
BiomedParse (SPARRA),Radiomics,IFN-gamma Dominant,-0.9177993398026192,267
BiomedParse (SPARRA),Radiomics,Lymphocyte Depleted,0.10820358803372931,94
BiomedParse (SPARRA),Radiomics,Wound Healing,-0.8394043109064679,214
BiomedParse (SPARRA),Radiomics,Inflammatory,-1.215486048567381,311
BiomedParse (ABMIL),Radiomics,IFN-gamma Dominant,-1.2868568436065417,267
BiomedParse (ABMIL),Radiomics,Lymphocyte Depleted,0.05604012632467348,94
BiomedParse (ABMIL),Radiomics,Wound Healing,-0.8930040492761186,214
BiomedParse (ABMIL),Radiomics,Inflammatory,-1.741865338704589,311
BiomedParse+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.27525078891889443,267
BiomedParse+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.6289505635420074,94
BiomedParse+UNI (MEAN),Radiopathomics,Wound Healing,0.3123592321197638,214
BiomedParse+UNI (MEAN),Radiopathomics,Inflammatory,-0.002453860243535111,311
BiomedParse+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.34068322974328613,267
BiomedParse+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6950065680273811,94
BiomedParse+UNI (SPARRA),Radiopathomics,Wound Healing,0.3663822485313649,214
BiomedParse+UNI (SPARRA),Radiopathomics,Inflammatory,0.09288009140877118,311
BiomedParse+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.3559899576163036,267
BiomedParse+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.6740112641010725,94
BiomedParse+UNI (ABMIL),Radiopathomics,Wound Healing,0.33222144832266143,214
BiomedParse+UNI (ABMIL),Radiopathomics,Inflammatory,0.04132069792657356,311
BiomedParse (MEAN),Radiomics,IFN-gamma Dominant,-0.8031733642287746,267
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.12480795658658939,94
BiomedParse (MEAN),Radiomics,Wound Healing,-0.7566529558129571,214
BiomedParse (MEAN),Radiomics,Inflammatory,-1.483207313911397,311
FMCIB (MEAN),Radiomics,IFN-gamma Dominant,-2.4754807767552403,267
FMCIB (MEAN),Radiomics,Lymphocyte Depleted,-0.38219881504022424,94
FMCIB (MEAN),Radiomics,Wound Healing,-2.1898630876441625,214
FMCIB (MEAN),Radiomics,Inflammatory,-3.1648747465593052,311
FMCIB+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.20387258285904242,267
FMCIB+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.5930203689408174,94
FMCIB+UNI (MEAN),Radiopathomics,Wound Healing,0.2938528753258116,214
FMCIB+UNI (MEAN),Radiopathomics,Inflammatory,0.03031612812094575,311
pyradiomics (MEAN),Radiomics,IFN-gamma Dominant,-1.5347194142152722,267
pyradiomics (MEAN),Radiomics,Lymphocyte Depleted,-0.030208357675050035,94
pyradiomics (MEAN),Radiomics,Wound Healing,-0.9034914670819711,214
pyradiomics (MEAN),Radiomics,Inflammatory,-2.5588091947221248,311
pyradiomics+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.2620572352620397,267
pyradiomics+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.6183200315482238,94
pyradiomics+UNI (MEAN),Radiopathomics,Wound Healing,0.33616513051826225,214
pyradiomics+UNI (MEAN),Radiopathomics,Inflammatory,-0.05784561085962281,311
BiomedParse+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.23223608293862152,267
BiomedParse+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.5713897462626745,94
BiomedParse+CHIEF (MEAN),Radiopathomics,Wound Healing,0.31461645406372385,214
BiomedParse+CHIEF (MEAN),Radiopathomics,Inflammatory,-0.06967791481852914,311
BiomedParse+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.3153385420278725,267
BiomedParse+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.6330546024597223,94
BiomedParse+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.3319499322405408,214
