Model,Omics,Subtype,R2,N
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,-1.601764856125662,267
CHIEF (SPARRA),Pathomics,IFN-gamma Dominant,-0.963560584563417,267
LVMMed+CHIEF (ABMIL),Radiopathomics,IFN-gamma Dominant,-0.8478505072641662,267
BiomedParse (SPARRA),Radiomics,Inflammatory,-0.1231512965915198,311
CHIEF (SPARRA),Pathomics,Inflammatory,0.1795038683744704,311
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.14379948652029684,311
BiomedParse (MEAN),Radiomics,Lymphocyte Depleted,0.024903337227393574,94
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.1676785916237612,94
BiomedParse+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.17641147450895767,94
pyradiomics (MEAN),Radiomics,Wound Healing,-1.0052948059072406,214
CONCH (ABMIL),Pathomics,Wound Healing,-0.6248509307081325,214
BiomedParse+CONCH (ABMIL),Radiopathomics,Wound Healing,-0.617190852396811,214
